donor_code,donor_name,year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati
5,Germany,2021,S4_S7_X,23.651844,
5,Germany,2021,S97_X,0.356598,
5,Germany,2021,SLV,0.508791,0.04074134841
5,Germany,2021,SOM,1.182592,1.1835
5,Germany,2021,SRB,0.075378,
5,Germany,2021,SYR,3.536215,
5,Germany,2021,TCD,,1.18338165
5,Germany,2021,THA,0.03601,
5,Germany,2021,TUR,3.611765,3.6145372914
5,Germany,2021,TZA,0.023652,
5,Germany,2021,UGA,0.099659,0.009017145675
5,Germany,2021,UKR,27.691865,0.0414225
5,Germany,2021,VNM,0.024347,0.024365247075
5,Germany,2021,ZAF,0.978541,9.272875822425
5,Germany,2021,ZWE,0.134359,
5,Germany,2022,A5_X,0.010622,
5,Germany,2022,ARG,0.043077,0.19131849037
5,Germany,2022,ARM,11.127759,0.0068705
5,Germany,2022,A_X,0.062941,
5,Germany,2022,BDI,0.535998,0.5387322885
5,Germany,2022,BGD,1.004687,1.292747995
5,Germany,2022,BIH,1.786025,
5,Germany,2022,BOL,0.07972,
5,Germany,2022,BRA,0.13394,0.01820801941
5,Germany,2022,CHN,0,
5,Germany,2022,CMR,0.279367,0.3522981
5,Germany,2022,COD,0.118943,
5,Germany,2022,COL,0.671175,
5,Germany,2022,CPV,0.011034,0.01109066763
5,Germany,2022,DOM,0.05166,0.05192347608
5,Germany,2022,DPGC_X,36.456579,0.0751527
5,Germany,2022,ECU,0.009364,0.00941203536
5,Germany,2022,EGY,1.112011,
5,Germany,2022,E_X,7.242377,3.221246609
5,Germany,2022,F3_X,0.212594,
5,Germany,2022,F4_X,4.26148,
5,Germany,2022,F6_X,1.508834,
5,Germany,2022,F97_X,0.10444,10.57
5,Germany,2022,F_X,2.286794,
5,Germany,2022,GEO,,0.0332955
5,Germany,2022,GHA,0.008418,0.008461285
5,Germany,2022,GTM,0.179018,0.20925415259
5,Germany,2022,HND,0.193303,
5,Germany,2022,HTI,0.250657,
5,Germany,2022,IDN,0.063098,
5,Germany,2022,IND,4.512311,1.316466018
5,Germany,2022,IRN,0.020304,
5,Germany,2022,KAZ,0.015539,0.00104988639
5,Germany,2022,KEN,0.342481,
5,Germany,2022,KGZ,4.182883,
5,Germany,2022,KHM,0.120964,
5,Germany,2022,LBN,0,
5,Germany,2022,MDA,,0.279048
5,Germany,2022,MEX,1.682119,
5,Germany,2022,MMR,13.025672,13.078023175
5,Germany,2022,MNG,0,
5,Germany,2022,MOZ,0.010516,0.01057
5,Germany,2022,MWI,0.01262,
5,Germany,2022,NAM,12.191481,
5,Germany,2022,NGA,,0.3524038
5,Germany,2022,PAK,0.11738,
5,Germany,2022,PER,0.255384,
5,Germany,2022,PHL,0.151127,
5,Germany,2022,PSE,12.619623,67.28921035564
5,Germany,2022,RWA,0,
5,Germany,2022,S97_X,0.534449,
5,Germany,2022,SLV,0.437144,
5,Germany,2022,SYR,2.980869,
5,Germany,2022,TCD,,0.3522981
5,Germany,2022,THA,0.136686,
5,Germany,2022,TJK,0.013671,0.013741
5,Germany,2022,TUR,3.235572,3.252077185
5,Germany,2022,UGA,0.406255,0.547526
5,Germany,2022,UKR,65.249606,214.984326109
5,Germany,2022,UZB,0.089392,
5,Germany,2022,YEM,1.028802,
5,Germany,2022,ZAF,0.854176,
5,Germany,2022,ZMB,0.007518,0.0075562816
5,Germany,2022,ZWE,0.14146,
5,Germany,2023,BDI,,0.5226094315
5,Germany,2023,BGD,,0.7347538045
5,Germany,2023,BOL,,0.2776725
5,Germany,2023,BTN,,0.02562498975
5,Germany,2023,E_X,,0.978255249125
5,Germany,2023,F_X,,51.17522947875
5,Germany,2023,GEO,,0.0353625
5,Germany,2023,IDN,,0.012915082
5,Germany,2023,IND,,33.62609330725
5,Germany,2023,IRQ,,64.7509925
5,Germany,2023,KEN,,0.27987256
5,Germany,2023,LBN,,28.7
5,Germany,2023,MDA,,0.419252249625
5,Germany,2023,MEX,,0.225904875
5,Germany,2023,MMR,,-0.104917196
5,Germany,2023,MOZ,,0.0102353835
5,Germany,2023,PSE,,26.65
5,Germany,2023,TUN,,0.03315045775
5,Germany,2023,UKR,,71.66586589875
5,Germany,2023,ZAF,,0.3300748665
5,Germany,2023,ZMB,,13.33298316125
6,Italy,2018,A7_X,0.175356,
6,Italy,2018,ARG,0.058452,
6,Italy,2018,ARM,0.035202,
6,Italy,2018,BEN,0,
6,Italy,2018,BFA,0,
6,Italy,2018,BGD,0.415284,0.214004492435
6,Italy,2018,BOL,0.026555,
6,Italy,2018,BRA,0.223277,
6,Italy,2018,CIV,0.08769,
6,Italy,2018,COD,0.006284,
6,Italy,2018,COL,0.001493,
6,Italy,2018,ECU,0.446884,
6,Italy,2018,EGY,0.199115,
6,Italy,2018,ETH,0.021244,
6,Italy,2018,HTI,0.024374,
6,Italy,2018,IND,0.230647,
6,Italy,2018,KEN,1.377769,1.2360600159
6,Italy,2018,KHM,0.005311,
6,Italy,2018,LBN,0.065586,
6,Italy,2018,LCA,0.163764,
6,Italy,2018,MLI,0.009125,
6,Italy,2018,MOZ,0.078391,
6,Italy,2018,NPL,0.008485,
6,Italy,2018,PER,0.016281,
6,Italy,2018,PSE,1.246706,
6,Italy,2018,SDN,1.652307,1.6541
6,Italy,2018,SEN,0.037929,
6,Italy,2018,SLV,4.720878,
6,Italy,2018,SSD,0.02455,
6,Italy,2018,SYR,0.03399,-0.01151558427
6,Italy,2018,TGO,0.061933,
6,Italy,2018,TZA,0,
6,Italy,2018,UGA,0.313417,
6,Italy,2018,UKR,0.015874,
6,Italy,2018,VNM,0.015933,
6,Italy,2018,ZAF,0.179258,
6,Italy,2018,ZMB,0.005311,
6,Italy,2019,AGO,0.015339,
6,Italy,2019,ARG,0.023197,
6,Italy,2019,ARM,0.03339,
6,Italy,2019,BEN,0.335833,
6,Italy,2019,BFA,1.733207,0.5589860508
