year,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2019,JOR,16.565794,50.1070172920008,17.213249,2.781560759707,47.3254565322938,13.1088888028747,2.19212179149807,24.0256558142513
2020,JOR,13.671328,18.742398542304,16.565794,50.1070172920008,-31.3646187496968,11.5251711200203,1.17355400569307,21.8767882343476
2021,JOR,11.072483,18.0349527186788,13.671328,18.742398542304,-0.707445823625204,11.279727669883,3.6562740424259,18.9031812973402
2022,JOR,7.356758,11.2710028109,11.072483,18.0349527186788,-6.7639499077788,6.57787205930898,-1.07453893420633,14.2302830528243
2023,JOR,0.438049129888833,3.8101305937145,7.356758,11.2710028109,-7.4608722171855,0.438049129888833,-7.21802776661888,8.09412602639655
2018,LBY,7.004043,2.921643114,,,,,,
2019,LBY,3.637937,0.804014503777746,7.004043,2.921643114,-2.11762861022225,2.65997105640664,-5.02159109162189,10.3415332044352
2020,LBY,8.152674,0.00736056230401409,3.637937,0.804014503777746,-0.796653941473732,-6.19597974773451,-13.9451820428794,1.55322254741042
2021,LBY,3.240996,2.4627399818398,8.152674,0.00736056230401409,2.45537941953579,6.05430077899245,-1.64184059637019,13.7504421543551
2022,LBY,3.915882,1.7784569125,3.240996,2.4627399818398,-0.684283069339802,-8.43361989455227,-16.1213583735808,-0.745881415523727
2023,LBY,-7.68867684708968,5.3337969155,3.915882,1.7784569125,3.555340003,-7.68867684708968,-15.3403441053181,-0.0370095888613005
2018,UGA,39.829091,33.6277013362406,,,,,,
2019,UGA,16.254565,4.8827840259713,39.829091,33.6277013362406,-28.7449173102693,87.934720051568,78.6438935246065,97.2255465785295
2020,UGA,21.564526,2.49878666849639,16.254565,4.8827840259713,-2.38399735747491,28.1490286845828,20.5408728740692,35.7571844950964
2021,UGA,9.650609,7.09203686170986,21.564526,2.49878666849639,4.59325019321347,42.2612365725872,34.6582754259871,49.8641977191872
2022,UGA,17.630834,12.5096944361556,9.650609,7.09203686170986,5.41765757444573,4.73440763244222,-2.79840144279883,12.2672167076833
2023,UGA,29.1709772306804,5.2001152920832,17.630834,12.5096944361556,-7.30957914407238,29.1709772306804,21.5581642720213,36.7837901893395
2018,RWA,0.677767,0.5254540403,,,,,,
2019,RWA,8.465059,0.535577210940747,0.677767,0.5254540403,0.0101231706407469,-14.8514754819177,-22.6182184891087,-7.08473247472668
2020,RWA,1.706537,1.62710426578561,8.465059,0.535577210940747,1.09152705484487,7.14359125268251,-0.550867426120083,14.8380499314851
2021,RWA,2.648012,2.26197096266175,1.706537,1.62710426578561,0.634866696876139,-12.8288399809287,-20.5337549832364,-5.1239249786209
2022,RWA,1.857907,1.998008919135,2.648012,2.26197096266175,-0.263962043526753,-10.175153094058,-17.8661513277695,-2.48415486034654
2023,RWA,-13.607589463207,5.17740083551025,1.857907,1.998008919135,3.17939191637525,-13.607589463207,-21.2731261488509,-5.94205277756301
2018,TZA,13.10554,1.04745115550589,,,,,,
2019,TZA,28.083919,1.59395506398197,13.10554,1.04745115550589,0.54650390847608,20.3876150063081,12.7120722760235,28.0631577365927
2020,TZA,2.375042,0.777474241503392,28.083919,1.59395506398197,-0.816480822478577,63.6847632325798,55.9108263699068,71.4587000952528
2021,TZA,2.003709,1.58039742583628,2.375042,0.777474241503392,0.802923184332883,-10.4303624490677,-18.1570992196992,-2.70362567843615
2022,TZA,1.927099,1.10122659059133,2.003709,1.58039742583628,-0.479170835244942,-11.5149694440901,-19.239769393467,-3.79016949471326
2023,TZA,-11.3078015077667,0.30014655568325,1.927099,1.10122659059133,-0.801080034908083,-11.3078015077667,-19.0585863609777,-3.55701665455565
2018,MLI,9.532169,5.8917350659,,,,,,
2019,MLI,9.32283,1.0134197492298,9.532169,5.8917350659,-4.8783153166702,9.11720680877842,1.45799480799121,16.7764188095656
2020,MLI,22.195579,6.17594519809901,9.32283,1.0134197492298,5.16252544886922,7.74308354286098,0.103637623959932,15.382529461762
2021,MLI,12.695911,9.4713155344083,22.195579,6.17594519809901,3.29537033630929,42.2459527472303,34.7250412999302,49.7668641945303
2022,MLI,15.45427,8.854604584375,12.695911,9.4713155344083,-0.616710950033301,14.3150410270576,6.82211975642286,21.8079622976924
2023,MLI,25.4433660192394,0.97156435483105,15.45427,8.854604584375,-7.88304022954395,25.4433660192394,17.754356807915,33.1323752305638
2018,NER,5.269311,0.351627,,,,,,
2019,NER,8.693182,3.35266750377775,5.269311,0.351627,3.00104050377775,-2.67448403621921,-10.366480143871,5.01751207143257
2020,NER,8.982706,3.10027256230401,8.693182,3.35266750377775,-0.252394941473732,6.53140800287736,-1.0855244875283,14.148340493283
2021,NER,16.461519,8.1584593318398,8.982706,3.10027256230401,5.05818676953579,5.48096379349281,-2.10410682236601,13.0660344093516
2022,NER,11.59677,8.7965444,16.461519,8.1584593318398,0.638085068160196,25.5047536980393,18.0164923816282,32.9930150144505
2023,NER,10.3398896081581,11.3985597455,11.59677,8.7965444,2.6020153455,10.3398896081581,2.84801088425937,17.8317683320568
2018,ETH,66.363577,3.71916867510133,,,,,,
2019,ETH,56.992539,5.99987247611241,66.363577,3.71916867510133,2.28070380101108,171.342962280672,162.773712678265,179.912211883078
2020,ETH,67.244558,9.68777299242561,56.992539,5.99987247611241,3.6879005163132,142.37839441488,134.218222584218,150.538566245543
2021,ETH,79.703857,26.147467580925,67.244558,9.68777299242561,16.4596945884994,164.63754616153,155.901723079056,173.373369244003
2022,ETH,72.14145,50.8223584499057,79.703857,26.147467580925,24.6748908689807,186.90685489176,176.540589569383,197.273120214137
2023,ETH,149.646447249051,75.095243696388,72.14145,50.8223584499057,24.2728852464823,149.646447249051,137.034970389171,162.257924108932
2018,TGO,0.373642,0,,,,,,
