year,sector_code,recipient_iso3_code,usd_disbursement_crs,usd_disbursement_iati,usd_disbursement_crs_t1,usd_disbursement_iati_t1,delta_iati,usd_disbursement_crs_fit,usd_disbursement_crs_lwr,usd_disbursement_crs_upr
2016,16030,PHL,0.191171,0,0.01524,0,0,-0.0163089388131183,-2.80333203986758,2.77071416224134
2017,16030,PHL,0.446167,0,0.191171,0,0,0.0331812667766442,-2.75384542069159,2.82020795424488
2018,16030,PHL,0.020937,0,0.446167,0,0,0.0922885215470046,-2.69624638446191,2.88082342755592
2019,16030,PHL,0.056961,0.55353024,0.020937,0,0.55353024,0.0768948668637393,-2.71460853715967,2.86839827088715
2020,16030,PHL,0.157135,0,0.056961,0.55353024,-0.55353024,0.102331488847184,-2.69362580063543,2.8982887783298
2021,16030,PHL,0.226093,0,0.157135,0,0,0.141404857699818,-2.66048022742386,2.9432899428235
2022,16030,PHL,0.126092,0.3152384116,0.226093,0,0.3152384116,0.182575125270446,-2.62671303330795,2.99186328384885
2023,16030,PHL,0.194495359983854,0,0.126092,0.3152384116,-0.3152384116,0.194495359983854,-2.62364904990159,3.0126397698693
2010,16040,PHL,0.421769,-7.28175e-07,,,,,,
2011,16040,PHL,0.409703,0,0.421769,-7.28175e-07,7.28175e-07,0.260480442805857,-2.54881883904716,3.06977972465888
2012,16040,PHL,0.334888,0,0.409703,0,0,0.287103687417087,-2.51478911022473,3.0889964850589
2013,16040,PHL,0.103558,0,0.334888,0,0,0.306094473366819,-2.48985554677353,3.10204449350717
2014,16040,PHL,0.256741,1.2800603816,0.103558,0,1.2800603816,0.325098738319348,-2.46645147701832,3.11664895365701
2015,16040,PHL,0.195615,0.41091551664,0.256741,1.2800603816,-0.86914486496,0.361666546249843,-2.42689058093519,3.15022367343488
2016,16040,PHL,0.200629,0,0.195615,0.41091551664,-0.41091551664,0.374319128645269,-2.41271494021387,3.16135319750441
2017,16040,PHL,0.24396,0.0819216806,0.200629,0,0.0819216806,0.403346707976674,-2.38369169887129,3.19038511482463
2018,16040,PHL,0.301965,0.464700749,0.24396,0.0819216806,0.3827790684,0.442582967331568,-2.34594879919235,3.23111473385548
2019,16040,PHL,0.284387,0.5714741515,0.301965,0.464700749,0.1067734025,0.480149703662029,-2.31135026729965,3.27164967462371
2020,16040,PHL,0.269779,0.189504250180668,0.284387,0.5714741515,-0.381969901319332,0.500649528614765,-2.29531702116367,3.2966160783932
2021,16040,PHL,0.509794,0.380502547656,0.269779,0.189504250180668,0.190998297475332,0.528976642626915,-2.27294183843961,3.33089512369344
2022,16040,PHL,0.40051,0.226361464657621,0.509794,0.380502547656,-0.154141082998379,0.584382415569344,-2.22491105832653,3.39367588946522
2023,16040,PHL,0.609840589067758,0.96510893725344,0.40051,0.226361464657621,0.738747472595819,0.609840589067758,-2.20835324131752,3.42803441945304
2010,16030,NIC,1.030348,-5.941908e-06,,,,,,
2011,16030,NIC,0.778529,0,1.030348,-5.941908e-06,5.941908e-06,1.25626459950588,-1.55308704942799,4.06561624843975
2012,16030,NIC,0.593535,0,0.778529,0,0,1.2537255662833,-1.5482980838698,4.0557492164364
2013,16030,NIC,0.929614,0,0.593535,0,0,1.25931476035713,-1.53685858940949,4.05548811012374
2014,16030,NIC,0.098621,0,0.929614,0,0,1.32828452317418,-1.46335312388975,4.1199221702381
